Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Cover Photo,Author,Illustrator,Publisher,Featured,Copyright Year,ISBN,Awards,Publisher Summary,Chapter/Picture,Languaging,Translator,Languages,Grade Levels,Genres,Topics,Content Standards,WIDA Standards,Translanguaging Typology,Representation,Action Link,Action Link Label
Abuela,abuela,6165b59ceb6eb980da286f0f,6165b59ceb6eb97444286f66,Mon Aug 30 2021 17:05:17 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:09:44 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
Abuelita full of life/Abuelita llena de vida,abuelita-full-of-life-abuelita-llena-de-vida,6165b59ceb6eb980da286f0f,6165b59ceb6eb98c6f286fb0,Tue Aug 10 2021 20:44:10 GMT+0000 (Coordinated Universal Time),Tue Aug 31 2021 18:42:35 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181f3d610327431a4f08d1_Abuelita%20full%20of%20life.jpg,Amy Costales,Martha Avilés,Luna Rising,true,,10: 0-87358-914-9,,Jose is not sure what to expect when his grandmother from Mexico moves in...except that he will certainly have to change his ways. What he discovers is that he doesn't mind one bit. Abuelita is full of surprises! She is full of life!,Picture Book,Interlingual,"Translation etided by Straightline Editorial Department, Inc., with a special thank you to Alicia Fontán",spanish; english,primary-k-2,fiction,,,,<p>Traditional Bilingual</p>,mexican-american,,
Alma and How She Got Her Name,alma-and-how-she-got-her-name,6165b59ceb6eb980da286f0f,6165b59ceb6eb9c0b6286faf,Tue Aug 10 2021 20:44:10 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:16 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181efdf9bf69107af5d7f2_Alma%20and%20how%20she%20got%20her%20name.jpg,Juana Martinez-Neal,Juana Martinez-Neal,Candlewick Press,true,2018,978-0-7636-9355-8,Caldecott Honor,"If you ask her, Alma Sofia Esperanza José Pura Candela has way too many names: six! How did such a small person wind up with such a large name? Alma turns to Daddy for an answer and learns of Sofia, the grandmother who loved books and flowers; Esperanza, the great-grandmother who longed to travel; José, the grandfather who was an artist; and other namesakes, too. As she hears the story of her name, Alma starts to think it might be a perfect fit after all — and realizes that she will one day have her own story to tell. In her author-illustrator debut, Juana Martinez-Neal opens a treasure box of discovery for children who may be curious about their own origin stories or names.",Picture Book,Interlingual,,english,primary-k-2,fiction,culture,,,<p>Illustrations Only</p>,,,
Carmela Full of Wishes,carmela-full-of-wishes,6165b59ceb6eb980da286f0f,6165b59ceb6eb9cdbd286fae,Tue Aug 10 2021 20:44:11 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 14:42:57 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181ed0c44327d1e5d057d8_carmela%20full%20of%20wishes.jpeg,Matt de la Peña,Christian Robinson,G. P. Putnam's Sons,false,2018,9780399549045,,"When Carmela wakes up on her birthday, her wish has already come true–she’s finally old enough to join her big brother as he does the family errands. Together, they travel through their neighborhood, past the crowded bus stop, the fenced-off repair shop, and the panadería, until they arrive at the Laundromat, where Carmela finds a lone dandelion growing in the pavement. But before she can blow its white fluff away, her brother tells her she has to make a wish. If only she can think of just the right wish to make . . . ",Picture Book,Interlingual,,spanish; english,primary-k-2,fiction,family,,,,,https://www.penguinrandomhouse.com/books/549616/carmela-full-of-wishes-by-matt-de-la-pena-illustrated-by-christian-robinson/,
Chef Roy Choi and the Street Food Remix,chef-roy-choi-and-the-street-food-remix,6165b59ceb6eb980da286f0f,6165b59ceb6eb9bf3d286fab,Tue Jul 20 2021 19:24:39 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:12 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/60f723c237552289b1266f83_Chef%20Roy%20Choi%20and%20the%20Street%20Food%20Remix.jpg,Jacqueline Briggs Martin and June Jo Lee,Man One,Readers to Eaters,true,2017,,2018 Sibert Honor,"""Sohn maash"" is the flavors in our fingertips. It is the love and cooking talent that Korean mothers and grandmothers mix into their handmade foods. For Chef Roy Choi, food means love. It also means culture, not only of Korea where he was born, but the many cultures that make up the streets of Los Angeles, where he was raised. So remixing food from the streets, just like good music—and serving it up from a truck—is true to L.A. food culture. People smiled and talked as they waited in line. Won't you join him as he makes good food smiles?",Picture Book,Interlingual,,english; korean,primary-k-2,non-fiction; biography,food; traditions-customs,,,,korean-american,,
Como Se Llama?,como-se-llama,6165b59ceb6eb980da286f0f,6165b59ceb6eb9e262286f67,Mon Aug 30 2021 17:05:18 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:43:56 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
Dear Juno,dear-juno,6165b59ceb6eb980da286f0f,6165b59ceb6eb9feb8286fad,Tue Aug 10 2021 20:44:13 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:19 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61181e1b610327390e4eeb94_dear%20juno%20by%20soyung%20pak.jpg,Soyung Pak,Susan Kathleen Hartung,Scholastic,true,,9780439779364,,"Juno's grandmother writes in Korean, and Juno writes in drawings, but that doesn't mean they can't exchange letters. From the photo his grandmother sends him, Juno can tell that she has a new cat. From the picture he makes for her, Juno's grandmother can tell that he wants her to come for a visit. So she sends Juno a miniature plane to let him know she's on the way. This tender tale is a perfect introduction to the concept of foreign cultures and far-off lands.",Picture Book,Interlingual,,english; korean,primary-k-2,fiction,,,,,,,
Dear Primo: A Letter to My Cousin,dear-primo-a-letter-to-my-cousin,6165b59ceb6eb980da286f0f,6165b59ceb6eb92c3a286fac,Tue Aug 10 2021 20:44:13 GMT+0000 (Coordinated Universal Time),Tue Sep 07 2021 00:54:29 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/60f7252e86b2b2ba9a3b6f53_Dear%20Primo%20-%20A%20Letter%20to%20My%20Cousin.jpg,Duncan Tonatiuh,Duncan Tonatiuh,Abrams Books,true,2010,978-0-8109-3872-4,Pura Belpré Honor Book,"Meet Charlie and Carlitos. Charlie lives in America. Carlitos, his primo, lives in Mexico. Charlie takes the subway to school, plays basketball with his friends, and loves pizza. Carlitos rides his bicicleta to school and enjoys playing fútbol at recess, and his favorite meal is quesadillas. Their lives appear different, but do Charlie and Carlitos have more in common than it seems? Through his artwork and story, award-winning author and illustrator Duncan Tonatiuh introduces young readers to a very timely idea—that community is larger than just neighborhoods and schools.",Picture Book,Interlingual,,english; spanish,primary-k-2,fiction,family; culture; traditions-customs,"<p><strong>CCSS.ELA-LITERACY.RL.2.6</strong></p><p>Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.</p><p><strong>MA History and Social Science Framework</strong></p><p><strong>2.T41.</strong> Recognize the difference between physical geography and political geography.</p><p><strong>2T4.2.</strong> Explain the characteristics of a country.</p>",<p><strong>ELD-SI.K-3. Narrate</strong></p><p>Share ideas about one’s own and others’ lived experiences and previous learning</p><p>Connect stories with images and representations to add meaning Engage and adjust for audience through…</p><p>Language to address reader/listener and draw them in (It was so exciting!)</p>,<p>Comprehensive Text and Illustration Integration</p>,mexican-american,,
"Diego Rivera, His World and Ours",diego-rivera-his-world-and-ours,6165b59ceb6eb980da286f0f,6165b59ceb6eb99abf286fb9,Mon Aug 30 2021 17:05:19 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:16:41 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614df8607530f6b317067dfe_9780810997318_s3.jpg,Duncan Tonatiuh,,Abrams Books for Young Readers,false,2011,9780810997318,"2012 Pura Belpré Illustrator Award Winner, 2012 Tomás Rivera Mexican American Children’s Book Award","Diego Rivera, one of the most famous painters of the twentieth century, was once just a mischievous little boy who loved to draw. But this little boy would grow up to follow his passion and greatly influence the world of art. ",Picture Book,Bilingual,,spanish,primary-k-2; intermediate-3-6,biography,history; culture,,,,mexican,,
Drawn Together,drawn-together,6165b59ceb6eb980da286f0f,6165b59ceb6eb906dd286fb5,Mon Aug 30 2021 17:05:19 GMT+0000 (Coordinated Universal Time),Sat Sep 25 2021 18:25:25 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/6141619f3149ea2d0d101486_Drawn%20Together.jpg,Minh Le,Dan Santat,"Little, Brown Young Readers",true,2018,9781368022507,"2019 APALA Award, 2019 ALSC Notable Children's Book,. 2019 Charlotte Huck Recommended Book, 2019 ILA Notable Book for a Global Society","When a young boy visits his grandfather, their lack of a common language leads to confusion, frustration, and silence. But as they sit down to draw together, something magical happens — with a shared love of art and storytelling, the two form a bond that goes beyond words. (pub summary)",Picture Book,Interlingual,,english; thai,primary-k-2; intermediate-3-6,fiction,family,,,<p>(author is doing this - teachers can explore with students why the author is doing this)</p>,,,
Dreamers,dreamers,6165b59ceb6eb980da286f0f,6165b59ceb6eb90298286fb6,Mon Aug 30 2021 17:05:20 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 03:03:27 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/6141622941288aebc491a810_Dreamers.jpg,Yuyi Morales,Yuyi Morales,Neal Porter Books,false,2018,9780823440559,"2019 Pura Belpre Illustrator Award, 2019 Boston Globe–Horn Book Honor Recipient, Tomás Rivera Mexican American Children’s Book Award","Dreamers is a celebration of making your home with the things you always carry: your resilience, your dreams, your hopes and history. It’s the story of finding your way in a new place, of navigating an unfamiliar world and finding the best parts of it. In dark times, it’s a promise that you can make better tomorrows.",Picture Book,Interlingual,,spanish; english,intermediate-3-6; primary-k-2,biography,family; relocation,,,,mexican-american; mexican,,
Drum Dream Girl,drum-dream-girl,6165b59ceb6eb980da286f0f,6165b59ceb6eb9c983286fb7,Mon Aug 30 2021 17:05:20 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 16:54:30 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 16:54:30 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614162984a4b68f471dd07d2_Figure%202%20Drum%20Dream%20Girl.jpg,Margarita Engle,Rafael Lopez,HMH Books for Young Readers,false,2015,9780544102293,"2016 Pura Belpre Illustrator Award, 2016 Notable Social Studies Trade Book for Young People","Girls cannot be drummers. Long ago on an island filled with music, no one questioned that rule—until the drum dream girl. In her city of drumbeats, she dreamed of pounding tall congas and tapping small bongós. She had to keep quiet. She had to practice in secret. But when at last her dream-bright music was heard, everyone sang and danced and decided that both girls and boys should be free to drum and dream. ",Picture Book,Interlingual,,spanish,intermediate-3-6; primary-k-2,non-fiction,culture; traditions-customs; family,,,,cuban; chinese,https://drive.google.com/file/d/0B-e2daE0hoOBTUh3S09fY2JfVkE/view?resourcekey=0-EYSBVAKM34Bn4TP0Iu5-SA,
Du Iz Tak?,du-iz-tak,6165b59ceb6eb980da286f0f,6165b59ceb6eb92bf8286f68,Mon Aug 30 2021 17:05:20 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:44:17 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,<p>entry point for discussion</p>,,,
Dumpling Soup,dumpling-soup,6165b59ceb6eb980da286f0f,6165b59ceb6eb923f5286f69,Mon Aug 30 2021 17:05:20 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:45:15 GMT+0000 (Coordinated Universal Time),,,Jama Kim Rattigan,Lillian Hsu-Flanders,"Little, Brown Young Readers",false,1991,9780316730471,"Smithsonian Notable Book, Notable Children's Trade Book in Social Studies, Best Holiday Book, Horn Book Magazine","Marisa gets to help make dumplings this year to celebrate the New Year. But she worries if anyone will eat her funny-looking dumplings. Set in the Hawaiian islands, this story celebrates the joyful mix of food, customs, and languages from many cultures.",,,,,,,,,,,,,
Feathered Serpent and the Five Suns,feathered-serpent-and-the-five-suns,6165b59ceb6eb980da286f0f,6165b59ceb6eb90acf286fba,Mon Aug 30 2021 17:05:20 GMT+0000 (Coordinated Universal Time),Sat Sep 25 2021 17:15:29 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614dfa99fd18b84d5efd67b4_Feathered%20Serpent.jpg,Duncan Tonatiuh,Duncan Tonatiuh,Abrams Books for Young Readers,false,2020,9781419746772,2021 Tomás Rivera Mexican American Children’s Book Award,"Long ago, the gods of Mesoamerica set out to create humans. They tried many times during each sun, or age. When all their attempts failed and the gods grew tired, only one did not give up: Quetzalcóatl—the Feathered Serpent. To continue, he first had to retrieve the sacred bones of creation guarded by Mictlantecuhtli, lord of the underworld. Gathering his staff, shield, cloak, and shell ornament for good luck, Feathered Serpent embarked on the dangerous quest to create humankind. (pub summary)",Picture Book,Interlingual,,spanish; nahuatl,intermediate-3-6; primary-k-2,traditional-tale-folklore,history; culture; folk-tales-fables,,,<p>Concurrent Translation</p>,mexican,https://www.scribd.com/document/497290468/Feathered-Serpent-and-the-Five-Suns-Teaching-Guide,Teaching Guide
Fiesta Babies,fiesta-babies,6165b59ceb6eb980da286f0f,6165b59ceb6eb90cd3286f6a,Mon Aug 30 2021 17:05:20 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:45:04 GMT+0000 (Coordinated Universal Time),,,Carmen Tafolla,Amy Cordova,Tricycle Press,false,2010,978-1582463193,,"Join in the lastest fun from a Pura Belpré Honor-winning team. These Fiesta Babies dance, march on parade, and sing along to mariachi songs in their spirited celebration of fiestas. From piñatas to flower coronas, little ones are introduced to the many coloful aspects of an important and lively Latino cultural tradition.",,,,,,,,,,,,,
Fire! Fuego! Brave Bomberos,fire-fuego-brave-bomberos,6165b59ceb6eb980da286f0f,6165b59ceb6eb9f40a286f6b,Mon Aug 30 2021 17:05:21 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:45:01 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
From North to South/Del Norte al Sur,from-north-to-south-del-norte-al-sur,6165b59ceb6eb980da286f0f,6165b59ceb6eb97635286f6c,Mon Aug 30 2021 17:05:21 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:44:58 GMT+0000 (Coordinated Universal Time),,,René Colato Laínez,Joe Cepeda,Lee & Low Books,true,2010,978-0-89239-304-6,"Texas Star Reading List, Commended List Américas Book Award, International Latino Book Award, Junior Library Guild Selection","Near the border, the cars began to move very slowly. “Papá, go fast. I want to see Mamá,” I said. José loves helping Mamá in the garden outside their home in California. But when Mamá is sent back to Mexico for not having proper papers, José and his Papá face an uncertain future. What will it be like to visit Mamá in Tijuana? When will Mamá be able to come home? Award-winning children’s book author René Colato Laínez tackles the difficult and timely subject of family separation with exquisite tenderness. René is donating a portion of his royalties to El Centro Madre Assunta, a refuge for women and children who are waiting to be reunited with their families up north. Joe Cepeda’s bright and engaging illustrations bring this story of hope to vivid life.",,,,,,fiction,,,,<p>Bilingual with Other Language in the English Side Text</p>,,https://www.leeandlow.com/books/from-north-to-south-del-norte-al-sur,Publisher Guide
Funny Bones,funny-bones,6165b59ceb6eb980da286f0f,6165b59ceb6eb90dd8286fbb,Mon Aug 30 2021 17:05:21 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:33:13 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/614dfc30efca498549984bb8_Funny%2BBones.jpeg,Duncan Tonatiuh,,Abrams Books for Young Readers,false,2015,9781419716478,"2016 Sibert Award Winner, 2016 Pura Belpré Illustrator Honor, 2016 Tomás Rivera Mexican American Children’s Book Award"," Funny Bones tells the story of how calaveras came to be. The amusing figures are the creation of Mexican artist José Guadalupe (Lupe) Posada (1852–1913). Lupe learned the art of printing at a young age and soon had his own shop. In a country that was not known for freedom of speech, he drew political cartoons, much to the amusement of the local population but not that of the politicians. He continued to draw cartoons, but he is best known today for his calavera drawings. They have become synonymous with Mexico’s Día de Muertos festival. Calaveras are skeletons performing all sorts of activities, both everyday and festive: dancing in the streets, playing instruments in a band, pedaling bicycles, promenading in the park, and even sweeping the sidewalks. They are not intended to be frightening, but rather to celebrate the joy of living as well as provide humorous observations about people. ",Picture Book,Interlingual,,spanish,intermediate-3-6; primary-k-2,biography,,,,<p>Concurrent Translation</p>,mexican,https://www.abramsbooks.com/product/funny-bones_9781419716478/,Teaching Guides
Grandfather Counts,grandfather-counts,6165b59ceb6eb980da286f0f,6165b59ceb6eb977c4286f6d,Mon Aug 30 2021 17:05:22 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:44:50 GMT+0000 (Coordinated Universal Time),,,Andrea Cheng,Ange Zhang,Lee & Low Books,false,2000,9781584300106,"2001 , Honor, Language Arts Picture Book, Society of School Librarians International Book Awards","Gong Gong (Grandfather) is coming from China to live with Helen's family. Helen is excited, but anxious. How will she and her siblings, who know only English, communicate with Gong Gong, who speaks only Chinese?",,,,,,,,,,,,,
Hairs/Pelitos,hairs-pelitos,6165b59ceb6eb980da286f0f,6165b59ceb6eb9128f286f6e,Mon Aug 30 2021 17:05:22 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 17:31:49 GMT+0000 (Coordinated Universal Time),Fri Oct 15 2021 17:31:49 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/6169baff20e2bb42c9c9999a_9780679890072%20copy.jpg,Sandra Cisneros,Terry Ybáñez,Penguin Random House,true,1994,978-0-679-89007-2,Parenting Magazine Best Children's Book of the Year,"This jewel-like vignette from Sandra Cisneros’s best-selling The House on Mango Street shows, through simple, intimate portraits, the diversity among us.",Picture Book,Bilingual,Liliana Valenzuela,spanish,primary-k-2,fiction,identity,,,<p>Traditional Bilingual</p>,,https://www.penguinrandomhouse.com/books/27838/hairspelitos-by-sandra-cisneros/,
